Sample ID,Lithological descripton,"Packing (Embry & Klovan, 1971)",Calcite (%),MgCO3 in dolomite (%mol),Sr(ppm),IC (%Wt),Ti(ppm),Zr(ppm),Mn(ppm),V/Cr,Ni/Co,Ce/Ce*,δ13C (VPDB),1σ,δ18O (VPDB) ,1σ,87Sr/86Sr Initial Value,1 SE,δ26MgDSM3,2σ,δ25MgDSM3,2σ
MG17,Limestone,packstone,1.00,,436.41,10.71,1124.00,61.65,596.26,0.88,4.86,1.44,-0.45,0.07,-0.76,0.08,0.707397,3,,,,
MG16,Limestone,wackestone,1.00,,344.81,10.16,1573.84,62.59,553.20,0.81,5.68,1.41,-0.94,0.12,-0.66,0.07,0.707525,3,,,,
MG15C,Marly limestone,floatstone,1.00,,388.74,,622.89,75.70,473.44,1.40,14.05,1.35,-1.29,0.10,0.07,0.13,0.707415,4,,,,
MG15B,Marly limestone,mudstone,1.00,,467.09,10.90,999.59,54.38,423.81,1.34,10.43,1.37,-1.38,0.10,0.09,0.13,0.707389,3,,,,
MG15,Limestone,wackestone,1.00,,426.51,12.00,582.23,44.70,392.78,1.16,8.55,1.35,0.45,0.07,-0.48,0.04,0.707452,4,,,,
MG14,Dolomite,mudstone,0.00,47.57,347.09,,1124.86,83.59,701.37,0.83,3.32,1.34,1.78,0.11,3.53,0.08,0.707346,5,-1.84,0.05,-0.97,0.04
MG13,Limestone,wackestone,1.00,,306.31,,509.43,41.54,426.28,2.05,5.43,1.38,-0.48,0.15,-2.37,0.21,0.707584,3,,,,
MG12,Limestone,packstone,1.00,,287.73,,565.26,37.30,320.32,2.25,13.20,1.35,0.11,0.12,-1.33,0.19,0.707558,4,,,,
MG11,Marly limestone,mudstone,1.00,,357.08,11.10,659.26,37.51,420.50,1.72,14.59,1.32,0.93,0.08,-0.30,0.10,0.707487,5,,,,
MG10,Limestone,mudstone,1.00,,352.06,10.08,1698.43,100.21,489.19,0.97,7.27,1.42,0.92,0.10,-0.21,0.11,0.707325,5,,,,
MG09,Limestone,floatstone,0.67,47.57,309.87,11.05,500.23,22.15,526.67,2.14,14.98,1.27,1.28,0.12,1.01,0.13,0.707451,4,,,,
MG08,Limestone,wackestone,1.00,,339.24,,589.08,27.94,509.79,1.89,9.45,1.15,1.72,0.08,-1.30,0.07,0.707511,4,,,,
MG07,Limestone,floatstone,1.00,,402.13,6.60,736.75,17.54,512.78,2.60,8.81,1.20,1.22,0.07,-5.36,0.11,0.707657,4,,,,
MG06,Dolomite,mudstone,0.00,47.57,281.94,,1787.96,85.26,1075.79,0.99,4.61,1.35,1.89,0.09,-0.88,0.14,0.706977,3,-1.96,0.07,-1.02,0.00
MG05,Limestone,grainstone,1.00,,,6.93,,,,,,,0.83,0.10,-4.69,0.13,,,,,,
MG04,Limestone,wackestone,1.00,,323.07,12.46,496.16,50.29,692.54,1.16,9.11,1.57,0.86,0.10,-5.15,0.09,0.707290,3,,,,
MG03,Limestone,packstone,1.00,,337.65,9.65,1802.16,114.66,606.45,0.92,5.82,1.46,1.19,0.11,-5.78,0.14,0.707563,5,,,,
MG02,Limestone,wackestone,1.00,,177.09,13.00,487.08,21.54,878.21,2.32,11.22,1.25,-0.62,0.07,-7.76,0.06,0.707635,4,,,,
MG01,Marly dolomite,wackestone,0.07,44.47,261.54,,1098.29,91.20,2266.56,0.70,8.93,1.43,-1.05,0.12,-0.50,0.14,0.707126,3,-2.30,0.09,-1.19,0.03
